id,wallet,chain,faucet,amount,txid,ts
e7d54fd9-c180-4a9e-9af4-573ce3bfac3c,0x4C110a05B39F22c123c35F3e5F563Ee900477464,eth,https://faucetlink.to/sepolia,0.0004439,ad0678f2-217d-4a45-92f8-b047a9fc3a64,2025-08-23T22:23:50.110575+00:00
6a1f773a-ab13-4b5a-8030-fa947e72df11,0xC6a1815657E5494fddDf574c630B25B57B917e50,eth,https://faucetlink.to/holesky,0.00071102,2e8d1f82-e175-4c17-b848-d1a6e35a65d6,2025-08-23T22:23:52.344887+00:00
709e7e9d-2cb9-4c85-82b8-26a376f6dc73,0xdE7d234F09a99Fc06E9A977e8b0E90127c86Ba10,eth,https://faucetlink.to/sepolia,0.0006575,2f77f99e-9a59-4a8f-ab8e-85259e90cb1e,2025-08-23T22:23:52.528058+00:00
0a8f376e-2fcb-4717-ab0e-e2ff64037239,0x2D4848c7Dadb0c6e0Ed55EC70Ec05867c4745239,eth,https://faucetlink.to/,0.00033926,c2932dea-df5c-46d3-ac71-e468563ea5da,2025-08-23T22:23:54.983812+00:00
49559fa8-8d01-483b-9498-23882d793c20,0x146b30f380a2f2fB9BFB714e3841f50D7EdBA612,eth,https://faucetlink.to/sepolia,0.00091103,e69d19b4-8038-438c-89b2-e64e0545ae96,2025-08-23T22:23:55.325429+00:00
76f63adf-a721-4e9f-b3e8-5def9add55f1,0x5cd84E8c9743147dCFD127A434769b847fC72261,eth,https://faucetlink.to/,0.00087473,5fdac60b-e65e-4fd1-9c56-1ebabe12187f,2025-08-23T22:23:58.124219+00:00
e5dad40f-aaf5-4492-a63f-4e92c82883e9,0xb4e24b05b441DAb1c907d808b74720ec2c337027,eth,https://faucetlink.to/,0.00013716,4b67c26d-0b5e-4ab4-a4f0-f78129589387,2025-08-23T22:23:58.450818+00:00
c3aeb649-f177-4a52-97bf-f99195bcbf8d,0x6D7965C0F3b4815Df1f7A229566DeA72fb4F74d9,eth,https://faucetlink.to/,0.00019572,739e2add-5f39-401e-b9ae-7735b63cd146,2025-08-23T22:24:01.128691+00:00
019f549c-ad8a-4af7-b9f2-625a36f741a7,0x4C110a05B39F22c123c35F3e5F563Ee900477464,eth,https://faucetlink.to/sepolia,0.00017316,9dcedcfd-d5b9-4983-9f94-32f184cc22f3,2025-08-23T22:24:01.591287+00:00
ec19d2a8-c6ed-43c4-ad37-6f447cbd7fff,0xF98cdb39b5C6035C1Bc4571eA6EC2378FEb3C2e4,eth,https://faucetlink.to/,0.00043024,697f7bd4-5a44-47dc-8768-388318680a1d,2025-08-23T22:24:04.310831+00:00
78bfff85-7ba0-4bf1-a7f9-17dc22cc1628,0x5C72B3d18784d25dfE82eE8aB38dD7d39B7667D4,eth,https://faucetlink.to/,0.00072034,9aa4705d-ddfb-4039-9c4f-7f15f89539e8,2025-08-23T22:24:04.763433+00:00
2bddcb47-04e9-471b-97b1-855617d08bd5,0xa5b0037819C3017a1C7A88dAC7474E603EF44b98,eth,https://faucetlink.to/,0.00085047,a9dc0396-3dd4-4758-a781-d762985324a6,2025-08-23T22:24:08.137634+00:00
8a003c36-28a1-4bcb-84f3-2dbf4be981d6,0x077001Cd36Bd2bc75fCDA8d52C94434aB919E2a7,eth,https://faucetlink.to/,0.00022118,f59a1458-623e-4dc9-b85b-9e91be904158,2025-08-23T22:24:08.184611+00:00
7befa255-fced-46c9-8454-22eb697dd618,0x73c430fF85C0C7f4eEA41e62B561846cac464d81,eth,https://faucetlink.to/holesky,2.464e-05,2fb74727-f669-46f5-a4b6-4ef1ca9e42cd,2025-08-23T22:24:10.336664+00:00
df4cff46-f95d-418b-9c95-a5a5dee78b66,0xE042B2dCA5FAd2EB16Bfb6C5240f596b75c51633,eth,https://faucetlink.to/holesky,0.00091602,0053e855-5f44-43ed-9a17-d159fcea1e58,2025-08-23T22:24:10.743433+00:00
e6b60a1f-815c-485b-b102-606b092f0454,0x146b30f380a2f2fB9BFB714e3841f50D7EdBA612,eth,https://faucetlink.to/sepolia,0.00029047,34909f7e-b520-4b9e-b5fe-c99fe2f81e9a,2025-08-23T22:24:13.226994+00:00
f8dd655d-8574-4a5b-a5cd-87e412916d97,0x4578F966c460589d962285E0f31E6320496Fc644,eth,https://faucetlink.to/holesky,0.00014737,37f8f255-545d-43e2-85e3-b8fc23233699,2025-08-23T22:24:13.538519+00:00
700702e5-7fcb-4102-b29a-14bc08878d3b,0x3C8E9a42B54655E8D0b57ED2C923c30478Db1621,eth,https://faucetlink.to/,0.00073606,67ec7319-2142-4e22-955c-1ee920fcaabf,2025-08-23T22:24:15.03051+00:00
f24cc28a-fba6-4337-add6-e55b96ad9ca2,0x2D4848c7Dadb0c6e0Ed55EC70Ec05867c4745239,eth,https://faucetlink.to/,0.0002868,68f3df96-1e5b-44db-a9de-0782d980d734,2025-08-23T22:24:16.24483+00:00
3be187d9-44cc-412b-a8a8-bfe5731f384b,0x4578F966c460589d962285E0f31E6320496Fc644,eth,https://faucetlink.to/,0.00034469,44e6ff40-5770-4b3c-a93b-203f68b0bf6b,2025-08-23T22:24:16.641446+00:00
c112207f-b541-4dbd-9c6b-c50e2c3bd945,0x6D7965C0F3b4815Df1f7A229566DeA72fb4F74d9,eth,https://faucetlink.to/holesky,0.00017755,30a70a57-0ce8-4224-913c-3a504853f0f5,2025-08-23T22:24:20.555069+00:00
aa190395-0df8-4acd-9d6f-f9b835843b21,0x383fD3E6FD6D5e292C027F30aEf59620F6Be54d1,eth,https://faucetlink.to/,8.145e-05,331c03a6-d30f-4f2f-a502-ef798b95e2b2,2025-08-23T22:24:20.560317+00:00
1bd2ad5d-4aa5-4957-91c5-caa9ce2e2c14,0x2F45926d389bf31F3f77105A72086270536B2c93,eth,https://faucetlink.to/,0.00035697,d6e587a4-ea43-4604-8080-468ad5e23a8a,2025-08-23T22:24:21.194446+00:00
1f33f453-bf06-4cca-83b6-bd034ee15525,0x6daf085e04927bBA14e0a989105DFB2CA51ef67E,eth,https://faucetlink.to/sepolia,0.00064169,152a44ce-03bb-4264-aee1-fdf0e8b7cd2c,2025-08-23T22:24:22.693712+00:00
029c0a0d-5f71-4997-9232-886bb91e15c7,0x61C0f0e0bEE14D6E602dd9601CD8043B97d11e62,eth,https://faucetlink.to/,0.00098357,6632e6ee-642c-4cc3-affb-078ad968da0b,2025-08-23T22:24:22.792441+00:00
abf6dc5b-3886-402d-9f45-d579c990cfc3,0x4578F966c460589d962285E0f31E6320496Fc644,eth,https://faucetlink.to/sepolia,0.00045639,6d222b9d-4513-4a1a-8bf5-ffe9d0bacb01,2025-08-23T22:24:23.012438+00:00
2f9a2e7f-974c-42fe-955f-86b79a95d878,0xD4C8F5fa97F5375a0110ab41E7Fe6417F7d29607,eth,https://faucetlink.to/,0.00098356,76fbacbd-1e33-4a64-bc5a-d4f89c1614ff,2025-08-23T22:24:23.018206+00:00
8f29365d-fbf0-4366-ab4e-81e3fca2557b,0x383fD3E6FD6D5e292C027F30aEf59620F6Be54d1,eth,https://faucetlink.to/sepolia,0.00098986,dcbbe447-cc59-4c74-b0a3-392d4f57f3be,2025-08-23T22:24:23.913572+00:00
7c7334d5-d10f-4377-9cac-a39b9acf36dd,0xf045C813F638bCd0CB95a3C95E148241637b4044,eth,https://faucetlink.to/holesky,0.00093441,d9185eab-f168-46f7-a733-ed05976faef0,2025-08-23T22:24:27.832322+00:00
7931043b-bd4a-4bdb-832d-5fc2bbf4a57e,0xE1634Dc4b208b6FE51411a3211b399c9faC224F4,eth,https://faucetlink.to/sepolia,0.00070797,d1333b21-1d3f-4c34-b36b-48f1f6c66a13,2025-08-23T22:24:28.190879+00:00
51120579-5379-43f9-b2bb-23bf20eb5c34,0x8Aa81c28bDe4eF3a17dAC0e980CDE901CAA649C5,eth,https://faucetlink.to/sepolia,0.00070724,0cea1f77-091d-462b-bf40-b43d3ccfaa5c,2025-08-23T22:24:28.698674+00:00
8b9f72de-23bf-4b52-bfcb-8a43e7da1650,0x6D7965C0F3b4815Df1f7A229566DeA72fb4F74d9,eth,https://faucetlink.to/sepolia,0.00092839,9f9d6277-9030-4379-aaeb-bfb55c9dab26,2025-08-23T22:24:29.578652+00:00
fd581ccf-d0f9-4b3e-8fb6-97b66b73f57d,0x4a0d387F61a6ee6b3093519688FFc5159e6105C7,eth,https://faucetlink.to/,0.00057326,3695a826-0a8b-449a-ad99-daaad1b91c51,2025-08-23T22:24:29.655719+00:00
ceb6e9fb-a76e-4e3a-9296-94268c072d33,0x3C8E9a42B54655E8D0b57ED2C923c30478Db1621,eth,https://faucetlink.to/holesky,0.00051779,3d081724-17a8-4887-8a56-b83df628f303,2025-08-23T22:24:29.868453+00:00
2acd401f-63a0-44d9-aa7a-4d8b1cf6d4a9,0xdE7d234F09a99Fc06E9A977e8b0E90127c86Ba10,eth,https://faucetlink.to/,0.00025025,51f152fc-f75c-4225-98c0-28a7c1675fee,2025-08-23T22:24:31.684658+00:00
03bfdcab-1aba-4a46-9dc2-1fc94cf5c3f3,0xf045C813F638bCd0CB95a3C95E148241637b4044,eth,https://faucetlink.to/,0.00064662,fcc02e9d-69be-426a-910f-7a50c9ce7901,2025-08-23T22:24:32.043295+00:00
